""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"61632","201206","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Discussion","W","10:00 AM - 11:40 AM","MB2","1004"
"","Lecture","TWR","4:10 PM - 5:50 PM","LH1","62"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","133788737","Smith","Melody","UG","4","SR","OTH8","B+","RE","melody.h.smith@fakeu.edu"
"2","668459249","Smith","Mia","UG","4","SR","O190","C","RE","mia.n.smith1@fakeu.edu"
"3","804244698","Henson","Harper","UG","4","SR","O239","A","RE","harper.h.henson@fakeu.edu"
"4","493605617","Barker","Joseph","UG","4","SR","O251","A-","RE","joseph.l.barker@fakeu.edu"
"5","101691946","Olson","Mia","UG","4","JR","O277","C","RE","mia.n.olson@fakeu.edu"
"6","183669829","Murray","Andrea","UG","4","JR","O160","B","RE","andrea.l.murray@fakeu.edu"
"7","306575965","Valdez","Jayden","UG","4","JR","OTH8","C+","RE","jayden.s.valdez1@fakeu.edu"
"8","360373761","Strickland","Stella","UG","4","SR","O174","F","RE","stella.c.strickland@fakeu.edu"
"9","295583828","Hardy","Levi","UG","4","SO","OT39","C+","RE","levi.m.hardy@fakeu.edu"
"10","399685959","Lopez","Avery","UG","4","SO","OT35","B+","RE","avery.a.lopez@fakeu.edu"
"11","182796781","Galloway","Isabella","UG","4","SO","OT54","A-","RE","isabella.s.galloway@fakeu.edu"
"12","849582922","Wells","Christopher","UG","4","FR","OT10","B","RE","christopher.m.wells@fakeu.edu"
"13","864948295","Morgan","Joshua","UG","4","SR","O174","A-","RE","joshua.j.morgan@fakeu.edu"
"14","323912897","Benjamin","Ethan","UG","4","FR","OT20","D","RE","ethan.c.benjamin@fakeu.edu"
"15","879343361","Higgins","Audrey","ND","4","ND","O253","A","RE","audrey.l.higgins@fakeu.edu"
"16","718343447","Strong","Zoe","UG","4","SR","OT42","A","RE","zoe.l.strong@fakeu.edu"
"17","155620610","Taylor","Bryan","UG","4","JR","O239","C","RE","bryan.n.taylor@fakeu.edu"
"18","902455811","Mcdaniel","Bella","UG","4","SO","O174","F","RE","bella.l.mcdaniel@fakeu.edu"
"19","564169938","Bishop","Oliver","UG","4","SR","O174","B+","RE","oliver.l.bishop@fakeu.edu"
"20","334114317","Glover","Nicholas","UG","4","SO","O238","A","RE","nicholas.a.glover@fakeu.edu"
"21","450469347","Floyd","Zachary","UG","4","FR","OT20","A-","RE","zachary.s.floyd@fakeu.edu"
"22","368265929","Coleman","Dominic","UG","4","FR","O215","C","RE","dominic.j.coleman@fakeu.edu"
"23","495181078","Rodriguez","Ximena","UG","4","JR","O181","C+","RE","ximena.s.rodriguez@fakeu.edu"
"24","377453767","Cain","Adrian","ND","4","ND","OTH2","B","RE","adrian.s.cain@fakeu.edu"
"25","984208271","Carey","Alexander","UG","4","SR","OTH6","D","RE","alexander.s.carey@fakeu.edu"
"26","186394395","Brown","Alexander","UG","4","SO","OTH8","A","RE","alexander.d.brown@fakeu.edu"
"27","422519210","Reed","Isabella","UG","4","SR","O282","C+","RE","isabella.l.reed@fakeu.edu"
"28","218569245","Baird","Ryan","ND","4","ND","O253","C+","RE","ryan.d.baird@fakeu.edu"
"29","390883308","Richardson","Noah","UG","4","FR","OT67","F","RE","noah.c.richardson@fakeu.edu"
"30","294380767","Sawyer","Naomi","UG","4","SO","O237","C+","RE","naomi.a.sawyer@fakeu.edu"
"31","301371936","Benson","Olivia","UG","4","SO","OTH8","A-","RE","olivia.l.benson@fakeu.edu"
"32","574434542","Martinez","Brooklyn","UG","4","SR","O160","C","RE","brooklyn.e.martinez@fakeu.edu"
"33","161474663","Hall","Luis","UG","4","SR","O248","F","RE","luis.r.hall@fakeu.edu"
"34","633639092","Graham","Brooklyn","UG","4","JR","O174","C+","RE","brooklyn.l.graham@fakeu.edu"
"35","922323682","Wilson","Ava","UG","4","SO","O239","C-","RE","ava.j.wilson1@fakeu.edu"
"36","532700257","Nguyen","Liam","UG","4","SO","OT68","B","RE","liam.r.nguyen@fakeu.edu"
"37","702765460","Bradley","Adrian","UG","4","FR","ABC1","A-","RE","adrian.k.bradley@fakeu.edu"
"38","571037541","Rhodes","Angela","UG","4","FR","OT20","C","RE","angela.l.rhodes@fakeu.edu"
"39","103960994","Norris","Christian","UG","4","FR","O144","A","RE","christian.c.norris@fakeu.edu"
"40","896341730","Miller","Ryan","UG","4","JR","OTH8","B+","RE","ryan.a.miller@fakeu.edu"
"41","677843354","Bradshaw","Sofia","ND","4","ND","OTH2","A","RE","sofia.j.bradshaw@fakeu.edu"
"42","887959870","Bowman","Camila","UG","4","SR","OT62","A-","RE","camila.a.bowman1@fakeu.edu"
"43","309627927","Wright","Nicole","GR","4","D1","O184","A","RE","nicole.l.wright@fakeu.edu"
"44","668392605","Miller","Andrew","UG","4","FR","OT54","D","RE","andrew.j.miller@fakeu.edu"
"45","436971629","Jackson","Alexander","UG","4","JR","OT13","F","RE","alexander.a.jackson1@fakeu.edu"
"46","339545826","Nash","Avery","UG","4","SR","O240","A","RE","avery.s.nash@fakeu.edu"
"47","553345439","Hayes","Abigail","UG","4","SR","O243","C+","RE","abigail.g.hayes@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"50137","201206","ABC","104","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Adams, Sofia A.","Lecture","MWF","10:00 AM - 11:40 AM","MB1","1040"
"","Discussion","M","12:10 PM - 1:50 PM","LH5","19"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","667072839","Rhodes","Valeria","UG","4","SR","O224","B+","RE","valeria.g.rhodes@fakeu.edu"
"2","773969537","Bell","Noah","UG","4","SR","O223","B+","RE","noah.j.bell@fakeu.edu"
"3","436791746","Bailey","Eric","UG","4","SR","O238","B+","RE","eric.l.bailey@fakeu.edu"
"4","420788226","Morris","Logan","UG","4","SR","DEF1","A-","RE","logan.j.morris@fakeu.edu"
"5","938064369","Ferguson","Jayden","UG","4","SR","O160","C","RE","jayden.m.ferguson@fakeu.edu"
"6","669194004","Nash","Ava","UG","4","SR","ABC2","B","RE","ava.j.nash@fakeu.edu"
"7","754424900","Hernandez","William","UG","4","SR","O224","C","RE","william.s.hernandez@fakeu.edu"
"8","426113387","Mckenzie","Aiden","UG","4","SR","O232","F","RE","aiden.w.mckenzie@fakeu.edu"
"9","110835372","Jackson","Sofia","UG","4","SR","O174","C+","RE","sofia.g.jackson@fakeu.edu"
"10","973708325","Woods","Delilah","UG","4","JR","O258","B","RE","delilah.n.woods@fakeu.edu"
"11","972278480","Hill","Jesus","UG","4","SR","OT42","B","RE","jesus.l.hill@fakeu.edu"
"12","684792830","Chan","Isabella","UG","4","JR","OT55","B","RE","isabella.l.chan@fakeu.edu"
"13","222336968","Holden","Jayden","UG","4","FR","ABC1","F","RE","jayden.p.holden@fakeu.edu"
"14","846186074","Wright","Savannah","UG","4","SO","OT21","A+","RE","savannah.j.wright@fakeu.edu"
"15","195290291","Savage","Noah","UG","4","SO","DEF2","C-","RE","noah.a.savage@fakeu.edu"
"16","244748225","Wright","James","UG","4","JR","ABC2","B","RE","james.r.wright@fakeu.edu"
"17","394215118","Long","Julian","UG","4","SO","DEF1","B+","RE","julian.a.long@fakeu.edu"
"18","757242864","Ward","Jackson","UG","4","JR","O225","A+","RE","jackson.i.ward@fakeu.edu"
"19","172958950","Campbell","Leah","UG","4","SO","ABC2","B-","RE","leah.e.campbell@fakeu.edu"
"20","560677485","Robinson","Matthew","UG","4","SO","O223","A","RE","matthew.a.robinson@fakeu.edu"
"21","400081575","Sandoval","Jordan","UG","4","SO","ABC1","D","RE","jordan.d.sandoval@fakeu.edu"
"22","282483574","Hoffman","Jack","UG","4","SO","O248","B-","RE","jack.s.hoffman@fakeu.edu"
"23","425150280","Madden","Sophie","UG","4","SO","O239","B-","RE","sophie.i.madden@fakeu.edu"
"24","938402074","Snyder","Caleb","UG","4","SR","OT39","C+","RE","caleb.l.snyder@fakeu.edu"
"25","226914977","Craft","Joseph","UG","4","JR","O283","D-","RE","joseph.j.craft@fakeu.edu"
"26","479015057","Kim","Alexander","UG","4","SO","O238","B","RE","alexander.j.kim@fakeu.edu"
"27","167870471","Tate","Jonathan","UG","4","FR","ABC1","F","RE","jonathan.g.tate@fakeu.edu"
"28","168156104","Smith","Jayden","UG","4","SO","ABC2","B","RE","jayden.m.smith@fakeu.edu"
"29","426994629","Holcomb","Ava","UG","4","FR","O228","D+","RE","ava.c.holcomb@fakeu.edu"
"30","675557148","Gutierrez","Sophia","UG","4","FR","O215","C","RE","sophia.s.gutierrez@fakeu.edu"
