""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"18759","200810","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Herring, Nathan L.","Lecture","MWF","1:10 PM - 2:00 PM","MB6","1139"
"","Discussion","W","3:10 PM - 4:00 PM","MB2","1016"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","888977586","Pierce","Zoey","UG","4","SR","OT83","A","RE","zoey.a.pierce@fakeu.edu"
"2","417239201","Lewis","Justin","UG","4","SR","O239","B+","RE","justin.g.lewis@fakeu.edu"
"3","746274727","Stewart","Nicholas","UG","4","SR","O229","A-","RE","nicholas.s.stewart@fakeu.edu"
"4","716994290","Rhodes","Luke","UG","4","SR","O244","B+","RE","luke.s.rhodes@fakeu.edu"
"5","805136668","Barnett","Joseph","UG","4","JR","O134","B-","RE","joseph.a.barnett@fakeu.edu"
"6","285169066","Koch","Emily","UG","4","JR","O174","B-","RE","emily.k.koch@fakeu.edu"
"7","454538428","Norris","Ethan","UG","4","JR","OT35","A","RE","ethan.a.norris@fakeu.edu"
"8","978967060","Johnson","Valeria","UG","4","SO","OT16","C-","RE","valeria.j.johnson@fakeu.edu"
"9","149287115","Clark","Matthew","UG","4","SO","O237","A","RE","matthew.k.clark@fakeu.edu"
"10","806852144","Morrison","Emma","UG","4","FR","O238","B+","RE","emma.b.morrison@fakeu.edu"
"11","191301255","Jordan","Diego","UG","4","SO","O160","B-","RE","diego.n.jordan@fakeu.edu"
"12","495316487","Hendricks","Avery","UG","4","FR","OT39","C","RE","avery.a.hendricks@fakeu.edu"
"13","179085381","Atkinson","Ella","UG","4","SO","OT55","B","RE","ella.g.atkinson@fakeu.edu"
"14","869214163","Williams","Victor","UG","4","JR","O239","A","RE","victor.a.williams@fakeu.edu"
"15","846288874","Mckenzie","Jonathan","UG","4","JR","O249","B-","RE","jonathan.g.mckenzie@fakeu.edu"
"16","216965448","Walker","Zoey","UG","4","JR","O174","C+","RE","zoey.a.walker@fakeu.edu"
"17","446826635","Wagner","Julian","UG","4","JR","O174","C-","RE","julian.k.wagner@fakeu.edu"
"18","229642143","Lopez","Jesus","UG","4","JR","OTH8","C","RE","jesus.m.lopez@fakeu.edu"
"19","651717092","Carson","Austin","UG","4","JR","OTH8","C+","RE","austin.s.carson@fakeu.edu"
"20","635929917","Thomas","Olivia","UG","4","FR","ABC1","B-","RE","olivia.s.thomas1@fakeu.edu"
"21","297422634","Smith","Alexander","UG","4","FR","OT35","A-","RE","alexander.a.smith2@fakeu.edu"
"22","337664116","Patterson","Noah","UG","4","FR","OT16","A","RE","noah.c.patterson@fakeu.edu"
"23","238790548","Holland","Jonathan","UG","4","FR","O160","A-","RE","jonathan.j.holland@fakeu.edu"
"24","676658944","Miller","Melanie","UG","4","FR","OT60","B-","RE","melanie.l.miller@fakeu.edu"
"25","473698848","West","Jeremiah","UG","4","FR","ABC2","B+","RE","jeremiah.d.west@fakeu.edu"
"26","631346320","Mitchell","Brianna","UG","4","FR","ABC2","B+","RE","brianna.k.mitchell@fakeu.edu"
"27","734481582","Wilson","Benjamin","UG","4","SO","OT13","B-","RE","benjamin.j.wilson@fakeu.edu"
"28","664258419","Buck","Sophie","UG","4","SO","O237","A","RE","sophie.d.buck@fakeu.edu"
"29","230026062","Hamilton","Alyssa","UG","4","SR","O238","A-","RE","alyssa.j.hamilton@fakeu.edu"
"30","755403838","Morgan","Olivia","UG","4","FR","DEF2","B","RE","olivia.c.morgan@fakeu.edu"
"31","144107055","Graham","Savannah","UG","4","FR","DEF2","B-","RE","savannah.s.graham@fakeu.edu"
"32","620833306","Ward","Ariana","UG","4","FR","ABC2","B+","RE","ariana.m.ward@fakeu.edu"
"33","546494931","Cunningham","Ryan","UG","4","FR","OT64","B+","RE","ryan.h.cunningham@fakeu.edu"
"34","918308322","Bowman","Angela","UG","4","FR","DEF1","B+","RE","angela.l.bowman@fakeu.edu"
"35","579941396","Pena","Christian","UG","4","FR","DEF2","C","RE","christian.e.pena@fakeu.edu"
"36","395640933","Williams","Jose","UG","4","FR","ABC1","B+","RE","jose.e.williams@fakeu.edu"
"37","551001063","Fisher","Aaron","UG","4","FR","DEF1","B","RE","aaron.j.fisher@fakeu.edu"
"38","253252133","Hawkins","Sophia","UG","4","FR","ABC2","B","RE","sophia.b.hawkins@fakeu.edu"
"39","833383890","Workman","Ryan","UG","4","FR","ABC2","A-","RE","ryan.n.workman@fakeu.edu"
"40","200905055","Hernandez","Aiden","UG","4","FR","OT64","B-","RE","aiden.e.hernandez@fakeu.edu"
"41","448451495","Gross","Aaliyah","UG","4","SO","O238","C-","RE","aaliyah.c.gross@fakeu.edu"
"42","264213547","Haley","Lucas","UG","4","JR","OTH8","C","RE","lucas.k.haley@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"99765","200810","ABC","101","2","4"
