""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"28406","199101","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Oliver, Sebastian I.","Lecture","MWF","10:00 AM - 10:50 AM","TB4","103"
"","Discussion","M","4:10 PM - 5:00 PM","LH3","56"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","734667324","Holland","Matthew","UG","4","JR","OT34","A","RE","matthew.a.holland@fakeu.edu"
"2","970891080","Scott","Matthew","UG","4","FR","OT35","C","RE","matthew.e.scott@fakeu.edu"
"3","241569193","Crawford","Joshua","UG","4","SR","OT59","C+","RE","joshua.m.crawford@fakeu.edu"
"4","705699512","Brock","Lily","UG","4","SR","OT51","C","RE","lily.j.brock@fakeu.edu"
"5","722410995","Davis","Aria","UG","4","JR","OT17","A-","RE","aria.a.davis@fakeu.edu"
"6","712612331","Patterson","Adrian","UG","4","SO","OTH3","C+","RE","adrian.l.patterson@fakeu.edu"
"7","755745001","Adams","Grace","UG","4","SO","OT15","C+","RE","grace.k.adams@fakeu.edu"
"8","156775992","Davis","Ashley","UG","4","SO","OT20","C","RE","ashley.v.davis@fakeu.edu"
"9","542005717","White","Ethan","UG","4","SO","OT21","B+","RE","ethan.a.white@fakeu.edu"
"10","481644503","Hicks","Adrian","UG","4","FR","OTH7","C","RE","adrian.m.hicks@fakeu.edu"
"11","994916077","Chavez","Abigail","UG","4","SO","OTH9","A-","RE","abigail.i.chavez@fakeu.edu"
"12","499751878","Gray","Alexis","UG","4","FR","OT20","C","RE","alexis.d.gray@fakeu.edu"
"13","280044656","Smith","Angelina","UG","4","FR","OTH6","C+","RE","angelina.i.smith@fakeu.edu"
"14","473640721","Little","Eric","UG","4","FR","OT26","B","RE","eric.b.little@fakeu.edu"
"15","423252521","Smith","William","UG","4","FR","OT24","C","RE","william.m.smith@fakeu.edu"
"16","887376723","O'brien","Jacob","UG","4","FR","OT17","C","RE","jacob.i.o'brien@fakeu.edu"
"17","889116472","Edwards","Daniel","UG","4","FR","OT15","B","RE","daniel.c.edwards@fakeu.edu"
"18","226586872","Rodriguez","Amy","UG","4","FR","OTH9","B+","RE","amy.o.rodriguez@fakeu.edu"
"19","601038226","Thomas","Michael","UG","4","JR","OT13","C","RE","michael.f.thomas@fakeu.edu"
"20","693793550","Grimes","Isaac","UG","4","FR","OT20","C","RE","isaac.j.grimes@fakeu.edu"
"21","163026339","Hopkins","Ximena","UG","4","SR","OTH5","D","RE","ximena.v.hopkins@fakeu.edu"
"22","277349071","Kelley","Valerie","UG","4","SO","O119","B","RE","valerie.j.kelley@fakeu.edu"
"23","812637414","Hayden","Ella","UG","4","SO","OT26","A-","RE","ella.l.hayden@fakeu.edu"
"24","869862260","Lee","Santiago","UG","4","FR","OT26","C","RE","santiago.s.lee@fakeu.edu"
"25","555274842","Olson","Austin","UG","4","SO","OT15","C","RE","austin.l.olson@fakeu.edu"
"26","527601769","Clark","Aria","UG","4","SR","OTH9","B+","RE","aria.z.clark@fakeu.edu"
"27","580112052","Larson","Andrew","UG","4","FR","OT16","F","RE","andrew.w.larson@fakeu.edu"
"28","958634580","Morin","Connor","UG","4","SR","OT55","B","RE","connor.n.morin@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"70909","199101","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Oliver, Sebastian I.","Discussion","T","9:00 AM - 9:50 AM","TB2","122"
"","Lecture","MWF","10:00 AM - 10:50 AM","TB4","103"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","475751865","Davis","Ethan","UG","4","SO","OT20","B+","RE","ethan.b.davis@fakeu.edu"
"2","239459707","Kirby","Benjamin","UG","4","JR","OT15","C","RE","benjamin.j.kirby@fakeu.edu"
"3","217953338","Gill","Carlos","UG","4","SO","OT25","C","RE","carlos.v.gill@fakeu.edu"
"4","465552493","King","Andrew","UG","4","FR","OT26","B","RE","andrew.l.king@fakeu.edu"
"5","404050851","Lewis","Jack","UG","4","FR","OT26","C","RE","jack.a.lewis@fakeu.edu"
"6","151050771","Byrd","James","UG","4","FR","OT20","B-","RE","james.r.byrd@fakeu.edu"
"7","517167656","Silva","Charlotte","UG","4","SO","OT26","C","RE","charlotte.j.silva@fakeu.edu"
"8","660460571","Reed","Alexander","UG","4","JR","OTH8","B+","RE","alexander.p.reed@fakeu.edu"
"9","362798379","Phillips","Brandon","UG","4","SO","OT16","B","RE","brandon.k.phillips@fakeu.edu"
"10","435972514","Evans","Gael","UG","4","SO","OT16","C","RE","gael.e.evans@fakeu.edu"
"11","843516371","Hunt","Ashley","UG","4","FR","OT54","A","RE","ashley.j.hunt@fakeu.edu"
"12","907321092","Pena","Diego","UG","4","FR","OTH9","A","RE","diego.v.pena@fakeu.edu"
"13","808165710","Rich","John","UG","4","FR","OTH3","C+","RE","john.l.rich@fakeu.edu"
"14","502040167","Howard","Stella","UG","4","FR","OT29","D","RE","stella.a.howard@fakeu.edu"
"15","746130673","Hawkins","Bella","UG","4","FR","OT39","C+","RE","bella.l.hawkins@fakeu.edu"
"16","367037000","Vega","Ella","UG","4","FR","OT26","B","RE","ella.e.vega@fakeu.edu"
"17","750327947","Baker","Giselle","UG","4","FR","OT15","A+","RE","giselle.v.baker@fakeu.edu"
"18","914665403","Dunlap","Stephanie","UG","4","FR","OT20","C","RE","stephanie.a.dunlap@fakeu.edu"
"19","506160970","Dillard","Madison","UG","4","SO","OT69","B-","RE","madison.a.dillard@fakeu.edu"
"20","459613096","Stevenson","Camila","UG","4","FR","OTH6","C","RE","camila.g.stevenson@fakeu.edu"
"21","871228968","Simmons","Robert","UG","4","SO","OT27","B","RE","robert.s.simmons@fakeu.edu"
"22","956222603","Gutierrez","Isabella","UG","4","JR","OT15","B-","RE","isabella.s.gutierrez@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"17842","199101","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Oliver, Sebastian I.","Lecture","MWF","10:00 AM - 10:50 AM","TB4","103"
"","Discussion","T","3:10 PM - 4:00 PM","LH5","13"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","639816731","Craig","Arianna","UG","4","SO","OT26","C+","RE","arianna.a.craig@fakeu.edu"
"2","537765483","Jackson","Ximena","UG","4","JR","OT34","F","RE","ximena.a.jackson@fakeu.edu"
"3","654983934","Adams","Alexander","UG","4","SO","OT11","F","RE","alexander.t.adams@fakeu.edu"
"4","234099919","Riddle","Kylie","UG","4","FR","OT61","C+","RE","kylie.a.riddle@fakeu.edu"
"5","439591850","Morris","Zachary","UG","4","FR","OTH7","C","RE","zachary.g.morris@fakeu.edu"
"6","967673473","Jones","Alexis","UG","4","SO","OT12","B+","RE","alexis.j.jones@fakeu.edu"
"7","870559650","Smith","Diego","UG","4","JR","OT15","B","RE","diego.j.smith@fakeu.edu"
"8","980601777","Johnson","Logan","UG","4","JR","OT59","A-","RE","logan.i.johnson@fakeu.edu"
"9","709338401","Gibson","Ethan","UG","4","SO","OTH3","C","RE","ethan.j.gibson@fakeu.edu"
"10","201405008","Moore","Adrian","UG","4","SO","OT57","C+","RE","adrian.j.moore@fakeu.edu"
"11","168505571","Taylor","Jonathan","UG","4","SO","OT26","C+","RE","jonathan.s.taylor1@fakeu.edu"
"12","251446290","Oliver","James","UG","4","FR","OTH8","F","RE","james.n.oliver@fakeu.edu"
"13","126590818","Benson","Violet","UG","4","FR","OTH8","B+","RE","violet.m.benson@fakeu.edu"
"14","287713184","Hall","Bryan","UG","4","SR","DEF2","A","RE","bryan.a.hall@fakeu.edu"
"15","789705833","Mcintyre","Gael","UG","4","FR","OT26","A-","RE","gael.k.mcintyre@fakeu.edu"
"16","810335379","Hodge","Justin","UG","4","FR","OT20","F","RE","justin.s.hodge@fakeu.edu"
"17","120360020","Martin","Sofia","UG","4","SO","OTH9","F","RE","sofia.l.martin@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"60339","199101","ABC","103","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Butler, Xavier E.","Laboratory","T","10:00 AM - 12:50 PM","MB6","1149"
"","Lecture","MWF","12:10 PM - 1:00 PM","MB3","1070"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","761713743","Clark","Daniel","UG","4","SR","OTH6","B-","RE","daniel.b.clark@fakeu.edu"
"2","889723812","Greer","Anthony","UG","4","FR","OTH6","A-","RE","anthony.a.greer@fakeu.edu"
"3","550383925","Ayers","Genesis","UG","4","FR","OT20","B","RE","genesis.n.ayers@fakeu.edu"
"4","369956129","Thompson","Andrew","UG","4","SO","OT27","C+","RE","andrew.l.thompson@fakeu.edu"
"5","563160681","Santiago","Noah","UG","4","FR","DEF2","B+","RE","noah.m.santiago@fakeu.edu"
"6","221957485","Graham","Mia","UG","4","SR","OT36","A-","RE","mia.a.graham@fakeu.edu"
"7","797605882","Valentine","Amy","UG","4","SR","OTH8","A+","RE","amy.m.valentine@fakeu.edu"
"8","192311259","Cummings","Benjamin","UG","4","JR","OT22","B+","RE","benjamin.m.cummings@fakeu.edu"
"9","259582174","Talley","Alexander","UG","4","JR","OT38","B-","RE","alexander.p.talley@fakeu.edu"
"10","287487677","Jensen","Brooklyn","UG","4","JR","OT41","C","RE","brooklyn.a.jensen@fakeu.edu"
"11","580984534","Adams","Ashley","UG","4","JR","OT35","F","RE","ashley.k.adams@fakeu.edu"
