""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"68799","200301","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Carpenter, Grace S.","Discussion","T","8:00 AM - 8:50 AM","MB2","1002"
"","Lecture","MWF","3:10 PM - 4:00 PM","LH1","94"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","278941087","Daniel","Melanie","UG","4","JR","OT62","A","RE","melanie.c.daniel@fakeu.edu"
"2","320639301","Hammond","Jayden","UG","4","FR","OT10","C-","RE","jayden.g.hammond@fakeu.edu"
"3","405663555","Ward","Elijah","UG","4","JR","O239","B","RE","elijah.c.ward@fakeu.edu"
"4","420359454","Byrd","Claire","UG","4","JR","O216","C","RE","claire.g.byrd@fakeu.edu"
"5","357327399","Clements","Robert","UG","4","FR","O241","C-","RE","robert.e.clements@fakeu.edu"
"6","300160703","Hamilton","Nevaeh","UG","4","FR","O216","D+","RE","nevaeh.s.hamilton@fakeu.edu"
"7","747467033","Nelson","Brianna","UG","4","FR","OT20","D+","RE","brianna.s.nelson@fakeu.edu"
"8","122944943","White","Kevin","UG","4","FR","OTH8","B","RE","kevin.a.white1@fakeu.edu"
"9","993274632","Anderson","Amy","UG","4","FR","O156","C+","RE","amy.e.anderson@fakeu.edu"
"10","251003266","Bennett","Nathan","UG","4","FR","O216","B","RE","nathan.s.bennett@fakeu.edu"
"11","332469284","Mccall","Damian","UG","4","FR","OT16","B-","RE","damian.n.mccall@fakeu.edu"
"12","980455316","Hale","Luke","UG","4","FR","ABC2","C-","RE","luke.n.hale@fakeu.edu"
"13","791994459","Walters","Delilah","UG","4","FR","O216","B","RE","delilah.j.walters@fakeu.edu"
"14","447183377","Townsend","Michael","UG","4","FR","O216","B","RE","michael.a.townsend@fakeu.edu"
"15","607010518","Dalton","Charlotte","UG","4","FR","OTH8","B+","RE","charlotte.v.dalton@fakeu.edu"
"16","235063909","Johnson","Noah","UG","4","JR","O238","B+","RE","noah.t.johnson@fakeu.edu"
"17","970669464","Lee","Aaliyah","UG","4","SR","O174","C","RE","aaliyah.f.lee@fakeu.edu"
"18","181922487","Schultz","Santiago","UG","4","FR","O216","B","RE","santiago.h.schultz@fakeu.edu"
"19","594064200","Miller","Brandon","UG","4","JR","OT30","B+","RE","brandon.c.miller@fakeu.edu"
