""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"15626","201201","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","M","1:10 PM - 2:00 PM","MB2","1016"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","905015937","Farmer","Jayden","UG","4","FR","DEF1","D","RE","jayden.y.farmer@fakeu.edu"
"2","507273374","Black","Ashley","UG","4","FR","DEF1","B-","RE","ashley.n.black@fakeu.edu"
"3","650870247","Vargas","Jayden","UG","4","FR","DEF1","D","RE","jayden.l.vargas@fakeu.edu"
"4","538086059","Vaughn","Henry","UG","4","FR","ABC1","A-","RE","henry.z.vaughn@fakeu.edu"
"5","321148626","Holmes","Hunter","UG","4","FR","ABC1","F","RE","hunter.d.holmes@fakeu.edu"
"6","983375121","Perez","Liam","UG","4","FR","DEF2","C-","RE","liam.c.perez@fakeu.edu"
"7","591026240","Beasley","Chloe","UG","4","FR","DEF1","F","RE","chloe.d.beasley@fakeu.edu"
"8","390791140","Walters","Mason","UG","4","FR","ABC1","D","RE","mason.c.walters@fakeu.edu"
"9","885059293","Jones","Zachary","UG","4","SO","OT39","C-","RE","zachary.i.jones@fakeu.edu"
"10","493789505","Foster","Samantha","UG","4","SR","O108","B","RE","samantha.i.foster@fakeu.edu"
"11","409835276","Freeman","Diego","UG","4","SR","O174","A","RE","diego.s.freeman@fakeu.edu"
"12","299213056","Brown","Carlos","UG","4","SR","OT21","B-","RE","carlos.i.brown@fakeu.edu"
"13","380746621","Cameron","Victoria","UG","4","SR","OT31","C","RE","victoria.l.cameron@fakeu.edu"
"14","617679070","Jackson","Kimberly","GR","4","GM","O102","A","RE","kimberly.j.jackson@fakeu.edu"
"15","810457169","Lopez","Andrew","UG","4","JR","OT39","C","RE","andrew.j.lopez@fakeu.edu"
"16","588693196","Allen","Daniel","UG","4","JR","OTH8","B","RE","daniel.n.allen1@fakeu.edu"
"17","976746104","Morales","Michael","UG","4","JR","OTH8","D-","RE","michael.i.morales@fakeu.edu"
"18","623380626","Davis","Sophia","UG","4","SR","OTH8","B-","RE","sophia.j.davis1@fakeu.edu"
