""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"30853","201001","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Battle, Gianna M.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","M","1:10 PM - 2:00 PM","TB2","118"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","415322812","Miller","Emily","UG","4","SR","O239","A","RE","emily.a.miller@fakeu.edu"
"2","594305429","Woods","Sophia","GR","4","GM","O102","A","RE","sophia.j.woods@fakeu.edu"
"3","677423491","Coleman","Dylan","UG","4","FR","ABC2","F","RE","dylan.j.coleman@fakeu.edu"
"4","549420649","Ford","Jade","UG","4","SR","O174","A-","RE","jade.w.ford@fakeu.edu"
"5","277601762","Mccormick","Christopher","UG","4","SR","O244","A","RE","christopher.a.mccormick@fakeu.edu"
"6","691938887","Miller","Aiden","GR","4","GM","O102","A","RE","aiden.j.miller1@fakeu.edu"
"7","214996373","Hart","Gabriel","UG","4","SR","O237","A-","RE","gabriel.v.hart@fakeu.edu"
"8","834412028","Johnson","Grace","UG","4","SR","O268","B","RE","grace.g.johnson@fakeu.edu"
"9","657310628","Hampton","Giselle","UG","4","JR","O243","B+","RE","giselle.l.hampton@fakeu.edu"
"10","462605040","Jones","Olivia","UG","4","JR","OTH8","F","RE","olivia.l.jones@fakeu.edu"
"11","234405337","Yates","Andres","UG","4","JR","OT39","B+","RE","andres.j.yates@fakeu.edu"
"12","922418895","Lambert","Vincent","UG","4","FR","ABC2","C+","RE","vincent.d.lambert@fakeu.edu"
"13","376328464","Osborne","Lillian","UG","4","SR","OTH7","A-","RE","lillian.a.osborne@fakeu.edu"
"14","296676487","Johnson","Gael","UG","4","JR","OTH8","C-","RE","gael.z.johnson@fakeu.edu"
"15","954978746","Taylor","Elizabeth","UG","4","JR","O243","C","RE","elizabeth.g.taylor@fakeu.edu"
"16","440548558","Nelson","Alejandro","UG","4","SR","OT21","A","RE","alejandro.k.nelson@fakeu.edu"
"17","918733766","Mcclain","Carlos","UG","4","SO","O238","C+","RE","carlos.s.mcclain@fakeu.edu"
"18","375555378","Harrell","Aaliyah","UG","4","FR","ABC1","C","RE","aaliyah.g.harrell@fakeu.edu"
"19","306073203","Wilson","Gael","UG","4","FR","OT48","B","RE","gael.l.wilson@fakeu.edu"
"20","494090430","Pennington","Melissa","UG","4","FR","DEF2","F","RE","melissa.v.pennington@fakeu.edu"
"21","468886120","Marshall","Mason","UG","4","FR","OT68","B","RE","mason.m.marshall@fakeu.edu"
"22","244154949","Johnson","Lucas","UG","4","FR","OT54","A","RE","lucas.a.johnson@fakeu.edu"
"23","913264546","Daniels","Ryan","UG","4","FR","OT68","A","RE","ryan.e.daniels@fakeu.edu"
"24","988993615","Wilson","Genesis","UG","4","FR","OT64","A-","RE","genesis.a.wilson@fakeu.edu"
"25","178568031","Snyder","Mason","UG","4","FR","DEF1","C","RE","mason.j.snyder@fakeu.edu"
