""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"60809","200101","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Logan, Jackson J.","Discussion","R","8:00 AM - 8:50 AM","LH5","21"
"","Lecture","MWF","3:10 PM - 4:00 PM","LH5","14"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","373939851","Thompson","William","UG","4","SO","OT54","A","RE","william.w.thompson@fakeu.edu"
"2","219805018","Macdonald","Oliver","UG","4","FR","DEF2","A","RE","oliver.n.macdonald@fakeu.edu"
"3","224838449","Stewart","Jackson","UG","4","FR","DEF2","A","RE","jackson.s.stewart@fakeu.edu"
"4","697597969","Thomas","Zoe","UG","4","JR","O222","B","RE","zoe.g.thomas@fakeu.edu"
"5","986140308","Davis","Alexander","UG","4","SO","OT26","A","RE","alexander.a.davis@fakeu.edu"
"6","153561041","Brown","Emily","UG","4","SO","OTH9","C-","RE","emily.s.brown@fakeu.edu"
"7","571578931","Johnston","Alyssa","UG","4","FR","OT16","A-","RE","alyssa.i.johnston@fakeu.edu"
"8","156214131","Nelson","Allison","UG","4","FR","OTH3","A","RE","allison.c.nelson@fakeu.edu"
"9","849720908","Haynes","Zachary","UG","4","FR","OT21","C","RE","zachary.a.haynes@fakeu.edu"
"10","242285029","Campbell","Sofia","UG","4","FR","OTH7","B-","RE","sofia.c.campbell@fakeu.edu"
"11","467895926","Rivera","Joshua","UG","4","JR","O216","A","RE","joshua.g.rivera@fakeu.edu"
"12","796712455","Horton","Eric","UG","4","SR","OT21","B+","RE","eric.c.horton@fakeu.edu"
"13","643907945","Allen","Miguel","UG","4","FR","OTH8","A","RE","miguel.a.allen@fakeu.edu"
"14","144452632","Armstrong","Landon","UG","4","SO","OT26","A","RE","landon.d.armstrong@fakeu.edu"
"15","386175837","Owens","Isabella","UG","4","FR","O216","A","RE","isabella.h.owens@fakeu.edu"
"16","960540517","Allen","Brandon","UG","4","FR","OT16","A","RE","brandon.k.allen@fakeu.edu"
"17","676342231","Lindsey","Samuel","UG","4","FR","O160","C+","RE","samuel.h.lindsey@fakeu.edu"
"18","101928624","Stevens","Anthony","UG","4","FR","ABC1","F","RE","anthony.e.stevens@fakeu.edu"
"19","180305979","Mullins","Charlotte","UG","4","SO","OT16","B","RE","charlotte.m.mullins@fakeu.edu"
"20","937313234","Barnes","Jonathan","UG","4","SO","OTH9","A-","RE","jonathan.l.barnes@fakeu.edu"
"21","312942778","Brown","Isaac","UG","4","SO","OTH3","B","RE","isaac.c.brown@fakeu.edu"
"22","460799851","Sandoval","Austin","UG","4","FR","OT26","A-","RE","austin.e.sandoval@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"91250","200101","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Logan, Jackson J.","Lecture","MWF","3:10 PM - 4:00 PM","LH5","14"
"","Discussion","T","5:10 PM - 6:00 PM","MB2","1016"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","874245696","Jones","Emily","UG","4","JR","OTH9","A","RE","emily.n.jones@fakeu.edu"
"2","716888040","Harvey","Ariana","UG","4","JR","O216","B+","RE","ariana.i.harvey@fakeu.edu"
"3","832546071","Sykes","Christopher","UG","4","JR","OTH8","A-","RE","christopher.l.sykes@fakeu.edu"
"4","675852968","Goodman","Joshua","UG","4","FR","ABC1","A","RE","joshua.l.goodman@fakeu.edu"
"5","301567066","Riley","Isabella","UG","4","FR","OT14","B-","RE","isabella.a.riley@fakeu.edu"
"6","857627201","Brewer","Elias","UG","4","SO","OT30","B","RE","elias.d.brewer@fakeu.edu"
"7","436001457","Kelly","Camila","UG","4","FR","OTH8","A-","RE","camila.c.kelly@fakeu.edu"
"8","310108278","Orr","William","UG","4","FR","DEF2","B-","RE","william.k.orr@fakeu.edu"
"9","727509963","Miles","Jacob","UG","4","FR","O160","A-","RE","jacob.a.miles@fakeu.edu"
"10","535632253","Mcgowan","Dylan","UG","4","FR","DEF2","B","RE","dylan.v.mcgowan@fakeu.edu"
"11","893487202","Leonard","Elias","UG","4","SO","O216","A","RE","elias.h.leonard@fakeu.edu"
"12","343264295","Marshall","Valeria","UG","4","JR","O146","C+","RE","valeria.n.marshall@fakeu.edu"
"13","185306108","Cummings","Henry","UG","4","SO","OT26","B","RE","henry.s.cummings@fakeu.edu"
"14","251402657","Holt","Brandon","UG","4","FR","OTH9","B","RE","brandon.m.holt@fakeu.edu"
"15","941138885","Lamb","Nathan","UG","4","FR","OT26","A-","RE","nathan.r.lamb@fakeu.edu"
"16","810881195","Flores","Isaac","UG","4","FR","DEF2","A","RE","isaac.e.flores@fakeu.edu"
"17","858599297","Roberts","Christopher","UG","4","FR","OT20","A","RE","christopher.l.roberts@fakeu.edu"
"18","752174657","Santos","Luke","UG","4","FR","OT26","A","RE","luke.j.santos@fakeu.edu"
"19","713846147","Gibson","Juan","UG","4","FR","OT10","F","RE","juan.p.gibson@fakeu.edu"
"20","679124298","England","Kylie","UG","4","FR","OT16","B","RE","kylie.u.england@fakeu.edu"
"21","864637717","Jackson","Ian","UG","4","FR","OT16","A","RE","ian.i.jackson@fakeu.edu"
"22","790809550","Sanchez","Thomas","UG","4","FR","O214","NG","RE","thomas.r.sanchez1@fakeu.edu"
"23","933603709","O'donnell","Emily","UG","4","SO","OT35","C","RE","emily.l.o'donnell@fakeu.edu"
"24","808152125","May","Jennifer","UG","4","FR","O181","A-","RE","jennifer.s.may@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"65543","200101","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Logan, Jackson J.","Lecture","MWF","3:10 PM - 4:00 PM","LH5","14"
"","Discussion","M","4:10 PM - 5:00 PM","MB2","1018"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","313408343","Clark","Ava","UG","4","JR","O174","A-","RE","ava.r.clark@fakeu.edu"
"2","512052173","Gomez","Isabella","UG","4","JR","O216","A","RE","isabella.d.gomez@fakeu.edu"
"3","474471152","Thompson","Jacob","UG","4","JR","O148","A","RE","jacob.d.thompson@fakeu.edu"
"4","800593075","Ingram","Leonardo","UG","4","SO","OTH8","A","RE","leonardo.h.ingram@fakeu.edu"
"5","528171188","Romero","Jacob","UG","4","SO","O160","A-","RE","jacob.a.romero@fakeu.edu"
"6","320728520","Pierce","Vanessa","UG","4","SO","O229","B","RE","vanessa.a.pierce@fakeu.edu"
"7","277379906","White","Isabella","UG","4","FR","ABC1","B","RE","isabella.p.white@fakeu.edu"
"8","966904082","Solis","Melody","UG","4","FR","OT20","A","RE","melody.b.solis@fakeu.edu"
"9","864910649","Campbell","Wyatt","UG","4","FR","OTH5","A-","RE","wyatt.n.campbell@fakeu.edu"
"10","629074016","Elliott","Daniel","UG","4","FR","O216","A-","RE","daniel.s.elliott@fakeu.edu"
"11","905058154","York","Jordan","UG","4","FR","OT94","A","RE","jordan.j.york@fakeu.edu"
"12","802563270","Smith","Jason","UG","4","FR","OT39","B","RE","jason.d.smith@fakeu.edu"
"13","450453852","Moss","Jordan","UG","4","FR","O200","A-","RE","jordan.n.moss@fakeu.edu"
"14","846067308","Davis","Andrew","UG","4","SO","OT60","A","RE","andrew.c.davis@fakeu.edu"
"15","197771132","Molina","Joshua","UG","4","FR","OT16","A-","RE","joshua.a.molina@fakeu.edu"
"16","801267618","Williams","Noah","UG","4","FR","OT94","A","RE","noah.n.williams@fakeu.edu"
"17","996607120","Clayton","Andrew","UG","4","SR","OT42","B","RE","andrew.q.clayton@fakeu.edu"
"18","664139041","Norton","Charlotte","UG","4","FR","OT16","A","RE","charlotte.a.norton@fakeu.edu"
"19","325404228","Warren","Lucas","UG","4","FR","OTH8","A","RE","lucas.n.warren@fakeu.edu"
"20","452485046","Quinn","James","UG","4","FR","OT35","A","RE","james.j.quinn@fakeu.edu"
"21","574150239","Rich","Katherine","UG","4","FR","OTH3","A","RE","katherine.s.rich@fakeu.edu"
"22","960433288","Banks","Alan","UG","4","SO","OT30","A","RE","alan.z.banks@fakeu.edu"
"23","302769378","Clark","Sebastian","UG","4","FR","OTH8","A","RE","sebastian.j.clark@fakeu.edu"
"24","290139239","Kirk","Kimberly","UG","4","FR","O224","A","RE","kimberly.e.kirk@fakeu.edu"
"25","583870683","Bryan","Jackson","UG","4","FR","OTH9","A-","RE","jackson.a.bryan@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"69418","200101","ABC","101","4","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Logan, Jackson J.","Discussion","M","1:10 PM - 2:00 PM","MB2","1016"
"","Lecture","MWF","3:10 PM - 4:00 PM","LH5","14"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","571433861","Walker","Kayla","UG","4","FR","ABC1","C","RE","kayla.g.walker@fakeu.edu"
"2","726406051","Hubbard","Ian","UG","4","JR","O129","B","RE","ian.a.hubbard@fakeu.edu"
"3","820613514","Austin","Elizabeth","UG","4","JR","O174","A","RE","elizabeth.n.austin@fakeu.edu"
"4","873691168","Dickson","Jacob","UG","4","SO","OT45","C","RE","jacob.j.dickson@fakeu.edu"
"5","388323625","Davis","Tyler","UG","4","FR","DEF2","B","RE","tyler.a.davis1@fakeu.edu"
"6","384428788","Wilson","Avery","UG","4","FR","O216","A","RE","avery.j.wilson@fakeu.edu"
"7","626041051","Wallace","Benjamin","UG","4","FR","OT21","NG","RE","benjamin.j.wallace@fakeu.edu"
"8","625651239","Rush","Violet","UG","4","FR","DEF1","A","RE","violet.e.rush@fakeu.edu"
"9","435291334","Oliver","Mila","UG","4","FR","OT26","A","RE","mila.e.oliver@fakeu.edu"
"10","951534639","Willis","Victor","UG","4","SO","OT16","B","RE","victor.c.willis@fakeu.edu"
"11","988051283","O'connor","Joshua","UG","4","JR","OT21","A","RE","joshua.s.o'connor@fakeu.edu"
"12","136232435","Cole","Liam","UG","4","JR","O110","B","RE","liam.j.cole@fakeu.edu"
"13","992396183","Smith","Adam","UG","4","SO","OT88","A","RE","adam.s.smith@fakeu.edu"
"14","415123999","Jimenez","Liam","UG","4","FR","OT16","C+","RE","liam.e.jimenez@fakeu.edu"
"15","981606046","Green","Daniel","UG","4","FR","OT26","A-","RE","daniel.s.green@fakeu.edu"
"16","333063707","Brown","Sophia","UG","4","FR","OT25","B","RE","sophia.i.brown@fakeu.edu"
"17","519446445","Ruiz","Joshua","UG","4","FR","OT26","A","RE","joshua.v.ruiz@fakeu.edu"
"18","828120295","Myers","Emma","UG","4","FR","ABC2","A","RE","emma.l.myers@fakeu.edu"
"19","121909531","Reed","Elizabeth","UG","4","SO","OT34","A-","RE","elizabeth.d.reed@fakeu.edu"
"20","612258339","Wise","Andrew","UG","4","FR","OT21","F","RE","andrew.r.wise@fakeu.edu"
"21","323753017","Carpenter","Leah","UG","4","SR","OTH9","A+","RE","leah.s.carpenter@fakeu.edu"
"22","769173842","Potter","Robert","UG","4","SR","O174","A","RE","robert.s.potter@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"61621","200101","ABC","103","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Logan, Jackson J.","Laboratory","F","8:00 AM - 10:50 AM","MB6","1149"
"","Lecture","MWF","1:10 PM - 2:00 PM","LH5","6"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","467744099","Valentine","Andrew","UG","4","FR","O216","B","RE","andrew.v.valentine@fakeu.edu"
"2","178119363","English","Eric","UG","4","FR","O213","B","RE","eric.l.english@fakeu.edu"
"3","427958515","Anderson","Alexandra","UG","4","FR","OT26","A","RE","alexandra.l.anderson@fakeu.edu"
"4","548664139","Roth","Natalia","UG","4","SO","O160","B","RE","natalia.s.roth@fakeu.edu"
"5","708382093","Pitts","Ethan","UG","4","SR","OT40","A","RE","ethan.w.pitts@fakeu.edu"
"6","154317782","Burns","Nathan","UG","4","FR","O160","A-","RE","nathan.d.burns@fakeu.edu"
"7","697597969","Thomas","Zoe","UG","4","JR","O222","A","RE","zoe.g.thomas@fakeu.edu"
"8","158483800","Robinson","Amy","UG","4","SR","OTH8","C+","RE","amy.g.robinson@fakeu.edu"
"9","155966451","Vang","Nathan","UG","4","SO","OTH7","B","RE","nathan.c.vang@fakeu.edu"
"10","839125549","Garcia","Isabella","UG","4","SO","OT28","C","RE","isabella.e.garcia1@fakeu.edu"
"11","147830769","Moore","Claire","UG","4","FR","OTH6","C","RE","claire.j.moore@fakeu.edu"
"12","609461879","Villarreal","Jose","UG","4","FR","OT16","F","RE","jose.a.villarreal@fakeu.edu"
"13","354659906","Sullivan","Christian","UG","4","FR","OT48","B","RE","christian.a.sullivan@fakeu.edu"
"14","165824841","Cook","Alexander","UG","4","FR","OT60","B","RE","alexander.h.cook@fakeu.edu"
"15","556669109","Matthews","Matthew","UG","4","JR","O161","NG","RE","matthew.j.matthews@fakeu.edu"
"16","194914404","Long","Jordan","UG","4","SO","O174","A","RE","jordan.d.long@fakeu.edu"
"17","994398496","Hall","Kaylee","UG","4","SO","O214","A-","RE","kaylee.h.hall@fakeu.edu"
"18","469825558","Hanson","Daniel","UG","4","FR","OT30","A","RE","daniel.a.hanson@fakeu.edu"
"19","529045308","Bryant","Jesse","UG","4","JR","OT21","B","RE","jesse.j.bryant@fakeu.edu"
