""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"70243","201203","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Discussion","F","9:00 AM - 9:50 AM","MB2","1016"
"","Lecture","MWF","10:00 AM - 10:50 AM","LH4","45"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","350987990","Macias","Grace","UG","4","SO","DEF2","B","RE","grace.k.macias@fakeu.edu"
"2","393644756","Palmer","Sebastian","UG","4","SO","O174","B","RE","sebastian.d.palmer@fakeu.edu"
"3","608046729","Lewis","Audrey","UG","4","FR","O174","F","RE","audrey.d.lewis@fakeu.edu"
"4","175100512","Ware","Ivan","UG","4","FR","OT37","F","RE","ivan.c.ware@fakeu.edu"
"5","852812069","Davis","Brooklyn","UG","4","SR","O174","A-","RE","brooklyn.g.davis@fakeu.edu"
"6","976864527","English","Sebastian","UG","4","SR","OT35","B+","RE","sebastian.z.english@fakeu.edu"
"7","607726569","Maldonado","Jack","UG","4","SR","O160","A","RE","jack.a.maldonado@fakeu.edu"
"8","435645311","Lancaster","Sophia","UG","4","SR","O238","B","RE","sophia.h.lancaster@fakeu.edu"
"9","864061317","Franklin","Hailey","UG","4","SR","O238","B+","RE","hailey.s.franklin1@fakeu.edu"
"10","837186887","Bowen","Sofia","UG","4","SR","OTH8","C-","RE","sofia.a.bowen@fakeu.edu"
"11","604488187","Fleming","Jackson","UG","4","JR","OTH8","A-","RE","jackson.g.fleming@fakeu.edu"
"12","880642401","Hebert","Jonathan","UG","4","JR","O239","B","RE","jonathan.d.hebert@fakeu.edu"
"13","636019705","Jones","Liam","UG","4","SR","OTH5","B-","RE","liam.a.jones1@fakeu.edu"
"14","244445229","Simon","Jocelyn","UG","4","SR","OT39","C","RE","jocelyn.y.simon@fakeu.edu"
"15","591363299","Ryan","Hunter","UG","4","JR","OT21","C","RE","hunter.b.ryan@fakeu.edu"
"16","679790405","Hall","Sophia","UG","4","JR","O174","A-","RE","sophia.j.hall@fakeu.edu"
"17","139124010","Rodriguez","Noah","UG","4","SR","OT21","C","RE","noah.j.rodriguez1@fakeu.edu"
"18","542844754","Webster","Aaron","UG","4","SO","O238","F","RE","aaron.z.webster@fakeu.edu"
"19","668882321","Diaz","Noah","UG","4","SO","O224","A","RE","noah.a.diaz@fakeu.edu"
"20","318789639","Stewart","Zoe","UG","4","SO","OT61","B-","RE","zoe.l.stewart@fakeu.edu"
