""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"65280","199010","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","9:00 AM - 9:50 AM","TB4","103"
"","Discussion","T","9:00 AM - 9:50 AM","LH5","13"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","761677888","Rogers","Diego","UG","4","FR","OT15","A","RE","diego.m.rogers@fakeu.edu"
"2","569204788","Nelson","Noah","UG","4","SO","OT24","B","RE","noah.i.nelson@fakeu.edu"
"3","167000260","Henderson","Elizabeth","UG","4","SR","OT27","C-","RE","elizabeth.v.henderson@fakeu.edu"
"4","966852942","Parker","Mia","UG","4","SR","O104","B","RE","mia.q.parker@fakeu.edu"
"5","950058127","Hicks","Wyatt","UG","4","JR","OT13","C","RE","wyatt.a.hicks@fakeu.edu"
"6","216461237","Johnson","Samuel","UG","4","SR","OT88","A-","RE","samuel.j.johnson@fakeu.edu"
"7","358689034","Sanders","Jose","UG","4","JR","OT27","F","RE","jose.j.sanders@fakeu.edu"
"8","209680681","Morris","Lucas","UG","4","JR","OT12","B","RE","lucas.v.morris@fakeu.edu"
"9","208344671","Dickerson","Gianna","UG","4","JR","OT27","B","RE","gianna.i.dickerson@fakeu.edu"
"10","884198528","Day","Arianna","UG","4","SO","OT30","A-","RE","arianna.a.day@fakeu.edu"
"11","945764981","Hernandez","Ariana","UG","4","SO","OT20","F","RE","ariana.j.hernandez@fakeu.edu"
"12","871228968","Simmons","Robert","UG","4","FR","OT27","D-","RE","robert.s.simmons@fakeu.edu"
"13","503327565","Torres","Zachary","UG","4","FR","OT10","C+","RE","zachary.l.torres@fakeu.edu"
"14","142320065","Roberts","Jonathan","UG","4","FR","OT26","A-","RE","jonathan.s.roberts@fakeu.edu"
"15","612828390","Bartlett","Aaron","UG","4","FR","ABC1","B","RE","aaron.s.bartlett@fakeu.edu"
"16","766821680","Wilcox","Ryan","UG","4","FR","OT27","B-","RE","ryan.z.wilcox@fakeu.edu"
"17","718044315","Hill","Santiago","UG","4","FR","OT12","B+","RE","santiago.b.hill@fakeu.edu"
"18","815568980","Myers","Owen","UG","4","JR","OT40","B+","RE","owen.n.myers@fakeu.edu"
"19","507240789","Chapman","Angelina","UG","4","JR","OT15","A","RE","angelina.l.chapman@fakeu.edu"
