""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"84098","200003","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"David, Adam C.","Discussion","T","8:00 AM - 8:50 AM","LH1","142"
"","Lecture","MWF","9:00 AM - 9:50 AM","LH5","42"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","208821356","French","Isaac","UG","4","FR","OT26","B-","RE","isaac.k.french@fakeu.edu"
"2","840104979","Chavez","Christian","UG","4","JR","OT88","C+","RE","christian.e.chavez@fakeu.edu"
"3","703262057","Frazier","Aaron","UG","4","FR","OTH3","B","RE","aaron.e.frazier@fakeu.edu"
"4","938901007","Coleman","Landon","UG","4","FR","ABC1","A-","RE","landon.i.coleman@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"28565","200003","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"David, Adam C.","Lecture","MWF","9:00 AM - 9:50 AM","LH5","42"
"","Discussion","W","3:10 PM - 4:00 PM","LH5","32"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","863018379","Small","Camila","UG","4","FR","OT16","B","RE","camila.a.small@fakeu.edu"
"2","929402164","Hughes","Mia","UG","4","FR","OT26","F","RE","mia.j.hughes@fakeu.edu"
"3","812775446","Evans","Nicholas","UG","4","FR","OT16","D-","RE","nicholas.a.evans@fakeu.edu"
"4","150749642","Reyes","Diego","UG","4","FR","ABC1","C","RE","diego.j.reyes@fakeu.edu"
"5","681524854","Reid","Violet","UG","4","SR","OT21","A","RE","violet.l.reid@fakeu.edu"
"6","904696182","Miller","Evan","UG","4","SR","O204","F","RE","evan.j.miller@fakeu.edu"
"7","842288281","Chandler","Matthew","UG","4","JR","O135","F","RE","matthew.q.chandler@fakeu.edu"
"8","390441120","Vasquez","Joseph","UG","4","JR","OT10","F","RE","joseph.v.vasquez@fakeu.edu"
"9","324124810","Coleman","Logan","UG","4","SO","OT55","A+","RE","logan.e.coleman@fakeu.edu"
"10","579881463","Wheeler","Wyatt","UG","4","FR","OT26","A-","RE","wyatt.h.wheeler@fakeu.edu"
"11","735788089","Lara","Santiago","UG","4","SO","O200","F","RE","santiago.r.lara@fakeu.edu"
"12","689320717","Johnson","Sophie","UG","4","FR","O174","C","RE","sophie.c.johnson@fakeu.edu"
"13","103721136","Berg","Zachary","UG","4","FR","OT16","A-","RE","zachary.v.berg@fakeu.edu"
"14","965757502","Hunt","Matthew","UG","4","FR","OT20","B-","RE","matthew.m.hunt@fakeu.edu"
"15","153934631","Estrada","Brayden","UG","4","SR","O174","C-","RE","brayden.a.estrada@fakeu.edu"
"16","230746275","Kaufman","Dylan","UG","4","FR","DEF2","A","RE","dylan.h.kaufman@fakeu.edu"
"17","300645357","Richards","Layla","UG","4","JR","OT95","F","RE","layla.g.richards@fakeu.edu"
"18","989654540","Marquez","Robert","UG","4","SO","OT26","D-","RE","robert.j.marquez@fakeu.edu"
"19","964861972","Silva","Emily","UG","4","FR","DEF2","C","RE","emily.a.silva@fakeu.edu"
"20","206137198","Walker","Jason","UG","4","SR","OT35","A-","RE","jason.j.walker@fakeu.edu"
"21","973329983","Elliott","Elizabeth","UG","4","FR","OT16","F","RE","elizabeth.b.elliott@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"71848","200003","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"David, Adam C.","Discussion","R","8:00 AM - 8:50 AM","LH1","142"
"","Lecture","MWF","9:00 AM - 9:50 AM","LH5","42"
""
