""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"10919","200710","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Fisher, Caleb K.","Lecture","MWF","1:10 PM - 2:00 PM","MB5","1332"
"","Discussion","W","3:10 PM - 4:00 PM","TB2","118"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","805600137","Strickland","Luke","UG","4","SR","OT21","A-","RE","luke.a.strickland@fakeu.edu"
"2","883453213","King","Isabella","UG","4","SR","O257","B","RE","isabella.o.king@fakeu.edu"
"3","690399106","Richards","Matthew","UG","4","SR","OT21","B+","RE","matthew.a.richards1@fakeu.edu"
"4","565087690","Hammond","Diego","UG","4","JR","O238","A","RE","diego.j.hammond@fakeu.edu"
"5","440842589","Howard","Emily","UG","4","SO","O129","D","RE","emily.j.howard@fakeu.edu"
"6","579404578","Johnson","Ximena","UG","4","SO","OT10","B","RE","ximena.m.johnson@fakeu.edu"
"7","996012896","Wright","Alexa","UG","4","SO","OTH6","B","RE","alexa.t.wright@fakeu.edu"
"8","154886496","Boyd","Camila","UG","4","JR","ABC1","B+","RE","camila.r.boyd@fakeu.edu"
"9","316307381","Mcclain","Jeremiah","UG","4","SO","ABC1","A-","RE","jeremiah.s.mcclain@fakeu.edu"
"10","256154764","Richardson","Daisy","UG","4","FR","OT42","A-","RE","daisy.j.richardson@fakeu.edu"
"11","347994599","Kelley","Sebastian","UG","4","FR","OT48","B","RE","sebastian.a.kelley@fakeu.edu"
"12","409137142","Osborne","Diego","UG","4","FR","ABC1","A-","RE","diego.a.osborne@fakeu.edu"
"13","333479557","Baker","Matthew","UG","4","FR","O216","A","RE","matthew.s.baker@fakeu.edu"
"14","462402586","Ellis","Luis","UG","4","FR","O234","A","RE","luis.e.ellis@fakeu.edu"
"15","534173181","Malone","Jennifer","UG","4","FR","O239","B+","RE","jennifer.a.malone@fakeu.edu"
"16","608905433","Williams","Miguel","UG","4","FR","O238","B","RE","miguel.m.williams@fakeu.edu"
"17","299139772","Nguyen","Andrew","UG","4","SO","DEF1","A-","RE","andrew.e.nguyen@fakeu.edu"
"18","709976180","Howard","Owen","UG","4","FR","DEF1","A","RE","owen.u.howard@fakeu.edu"
"19","800333802","Vazquez","Christopher","UG","4","FR","DEF2","B","RE","christopher.s.vazquez@fakeu.edu"
"20","141918129","Mitchell","Mateo","UG","4","FR","OT35","A","RE","mateo.a.mitchell@fakeu.edu"
"21","900047746","Daniels","Andrew","UG","4","SR","O240","C+","RE","andrew.l.daniels1@fakeu.edu"
"22","927777701","Garza","Liam","UG","4","JR","ABC1","A-","RE","liam.e.garza@fakeu.edu"
"23","382051171","Wells","Ryan","UG","4","SO","OT35","D","RE","ryan.a.wells@fakeu.edu"
"24","597950692","Harper","Joshua","UG","4","SO","OTH8","B","RE","joshua.m.harper@fakeu.edu"
"25","221959139","Conner","Joseph","UG","4","FR","DEF1","B-","RE","joseph.j.conner@fakeu.edu"
"26","124377845","Andrews","Ethan","UG","4","FR","ABC1","B","RE","ethan.m.andrews@fakeu.edu"
"27","773229549","Gallagher","Jason","UG","4","FR","DEF2","D","RE","jason.g.gallagher@fakeu.edu"
"28","496298127","Freeman","Alexander","UG","4","FR","DEF2","B+","RE","alexander.n.freeman@fakeu.edu"
"29","347370770","Ramos","Daniel","UG","4","FR","OTH7","C","RE","daniel.n.ramos@fakeu.edu"
"30","482624450","Thomas","Aiden","UG","4","FR","ABC2","C+","RE","aiden.j.thomas@fakeu.edu"
"31","698820753","Ashley","Elijah","UG","4","JR","ABC1","B","RE","elijah.a.ashley@fakeu.edu"
"32","934680471","Baldwin","Alyssa","UG","4","SR","OT37","A-","RE","alyssa.d.baldwin@fakeu.edu"
"33","426070103","Torres","Audrey","UG","4","SR","OT21","C-","RE","audrey.k.torres@fakeu.edu"
"34","361821677","Smith","Valerie","UG","4","SO","ABC1","C","RE","valerie.n.smith@fakeu.edu"
"35","409138732","Rivera","Alan","UG","4","FR","DEF1","A-","RE","alan.e.rivera@fakeu.edu"
"36","859386613","Garcia","Camila","UG","4","SR","OT55","F","RE","camila.m.garcia@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"88560","200710","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Fisher, Caleb K.","Discussion","W","10:00 AM - 10:50 AM","LH4","47"
"","Lecture","MWF","1:10 PM - 2:00 PM","MB5","1332"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","944222652","Rush","Alexander","UG","4","SR","O257","B","RE","alexander.e.rush@fakeu.edu"
"2","173016871","Long","Camila","UG","4","FR","O262","D","RE","camila.a.long@fakeu.edu"
"3","841311087","Russell","Valerie","UG","4","FR","O181","C+","RE","valerie.j.russell@fakeu.edu"
"4","247367630","Wright","Ethan","UG","4","FR","OT20","C+","RE","ethan.s.wright@fakeu.edu"
"5","780999472","Graham","Vanessa","UG","4","FR","OT20","B-","RE","vanessa.a.graham@fakeu.edu"
"6","352315398","Murray","Isabel","UG","4","FR","OT35","F","RE","isabel.n.murray@fakeu.edu"
"7","908809285","Lyons","Jackson","UG","4","FR","OT20","A-","RE","jackson.l.lyons@fakeu.edu"
"8","988956241","Brown","Maya","UG","4","FR","ABC1","C-","RE","maya.v.brown@fakeu.edu"
"9","689493411","Leon","Isabella","UG","4","FR","O160","B","RE","isabella.v.leon@fakeu.edu"
"10","697215233","Burns","Alexandra","UG","4","FR","OT26","Y","RE","alexandra.k.burns@fakeu.edu"
