""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"88840","199403","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","10:00 AM - 10:50 AM","LH5","14"
"","Discussion","M","4:10 PM - 5:00 PM","TB3","146"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","471630322","Powers","Matthew","UG","4","FR","OT20","F","RE","matthew.b.powers@fakeu.edu"
"2","166025026","Harrington","Amelia","UG","4","FR","DEF2","A-","RE","amelia.t.harrington@fakeu.edu"
"3","544298208","Henderson","Nathan","UG","4","SR","OTH9","A","RE","nathan.a.henderson@fakeu.edu"
"4","961170227","Murray","Jordan","UG","4","SR","OT38","NS","RE","jordan.v.murray@fakeu.edu"
"5","235595675","Davis","Jayden","UG","4","SR","OT30","A","RE","jayden.a.davis@fakeu.edu"
"6","260491716","Hale","Amelia","UG","4","SR","OT15","C","RE","amelia.j.hale@fakeu.edu"
"7","415546737","Brown","Noah","UG","4","SR","OT55","D+","RE","noah.l.brown@fakeu.edu"
"8","175276096","Mann","Maya","UG","4","SO","OTH3","C+","RE","maya.d.mann@fakeu.edu"
"9","795320068","Alford","Ashley","UG","4","SO","OT26","A","RE","ashley.j.alford@fakeu.edu"
"10","404666193","Murphy","Julian","UG","4","SO","OT30","A-","RE","julian.l.murphy@fakeu.edu"
"11","276004274","Flores","Jorge","UG","4","SO","OT21","A","RE","jorge.o.flores@fakeu.edu"
"12","158280239","Patel","Andres","UG","4","JR","OT34","B-","RE","andres.e.patel@fakeu.edu"
"13","371730688","Becker","Maya","UG","4","FR","OT20","F","RE","maya.c.becker@fakeu.edu"
"14","878977465","Maldonado","Aaron","UG","4","FR","O123","C","RE","aaron.l.maldonado@fakeu.edu"
"15","478244786","Hampton","Arianna","UG","4","JR","O123","F","RE","arianna.c.hampton@fakeu.edu"
"16","769091537","Baker","Audrey","UG","4","FR","OT50","C","RE","audrey.a.baker@fakeu.edu"
"17","581215161","Palmer","Angel","UG","4","SR","OT48","F","RE","angel.q.palmer@fakeu.edu"
"18","529992188","Bonner","Dylan","UG","4","SR","OT59","B+","RE","dylan.o.bonner@fakeu.edu"
"19","519225011","Whitehead","Emma","UG","4","SR","O123","C","RE","emma.e.whitehead@fakeu.edu"
"20","907529497","Wright","Natalia","UG","4","SO","OT16","A","RE","natalia.m.wright@fakeu.edu"
"21","694018073","Mccoy","Stephanie","UG","4","FR","OTH3","A","RE","stephanie.j.mccoy@fakeu.edu"
"22","441898207","Marsh","Audrey","UG","4","FR","ABC2","NS","RE","audrey.a.marsh@fakeu.edu"
"23","840328057","Landry","Jackson","UG","4","JR","OT31","C","RE","jackson.a.landry@fakeu.edu"
"24","422843918","Nelson","Daniel","UG","4","SO","OT44","C","RE","daniel.d.nelson@fakeu.edu"
"25","470431217","Duran","Isabella","UG","4","FR","OT60","C+","RE","isabella.a.duran@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"26448","199403","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Discussion","T","9:00 AM - 9:50 AM","LH5","43"
"","Lecture","MWF","10:00 AM - 10:50 AM","LH5","14"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","260677305","Peters","Alan","UG","4","FR","ABC1","C-","RE","alan.d.peters@fakeu.edu"
"2","244339544","Lowery","Adam","UG","4","FR","OT62","B+","RE","adam.x.lowery@fakeu.edu"
"3","941759277","Crawford","Brianna","UG","4","FR","OT26","A","RE","brianna.n.crawford@fakeu.edu"
"4","505095489","Dennis","Bryan","UG","4","SR","O123","A","RE","bryan.p.dennis@fakeu.edu"
"5","167807164","Poole","Julian","UG","4","JR","OT25","I","RE","julian.e.poole@fakeu.edu"
"6","353680786","Vance","Benjamin","UG","4","JR","OTH8","F","RE","benjamin.j.vance@fakeu.edu"
"7","831840189","Clark","Zoe","UG","4","SR","OT14","C+","RE","zoe.l.clark@fakeu.edu"
"8","807465868","Baker","Joshua","UG","4","JR","OTH9","A-","RE","joshua.t.baker@fakeu.edu"
"9","110012692","Myers","Layla","UG","4","JR","OT13","B","RE","layla.c.myers@fakeu.edu"
"10","597008172","Finch","Isabella","UG","4","SO","OT15","A-","RE","isabella.j.finch@fakeu.edu"
"11","833930361","Mcdonald","Amelia","UG","4","SO","OT15","A","RE","amelia.m.mcdonald@fakeu.edu"
"12","750973131","Peterson","Aubrey","UG","4","SO","OTH8","B","RE","aubrey.t.peterson@fakeu.edu"
"13","900039089","Wilson","Hunter","UG","4","SO","O146","A-","RE","hunter.i.wilson@fakeu.edu"
"14","793197296","Barber","Mila","UG","4","SR","OT15","NS","RE","mila.i.barber@fakeu.edu"
"15","624387996","Clark","Katherine","UG","4","SO","OT45","C+","RE","katherine.n.clark@fakeu.edu"
"16","971586069","Carpenter","Michelle","UG","4","FR","OT15","A","RE","michelle.j.carpenter@fakeu.edu"
"17","865720176","Moore","Zoe","UG","4","FR","OT26","A-","RE","zoe.h.moore@fakeu.edu"
"18","433284762","Price","Logan","UG","4","FR","OT16","A","RE","logan.e.price@fakeu.edu"
"19","645573960","Jones","Alexandra","UG","4","FR","OT26","D+","RE","alexandra.i.jones@fakeu.edu"
"20","458783252","Griffin","Audrey","UG","4","JR","OT45","A","RE","audrey.j.griffin@fakeu.edu"
"21","302358200","Robinson","Josiah","UG","4","SR","OT34","NS","RE","josiah.j.robinson@fakeu.edu"
"22","368611534","Sharp","Isabel","UG","4","SO","OT36","B","RE","isabel.n.sharp@fakeu.edu"
"23","602475604","Stark","David","UG","4","FR","OT21","B-","RE","david.a.stark@fakeu.edu"
"24","862426770","Watkins","Isabel","UG","4","SR","OT22","B-","RE","isabel.h.watkins@fakeu.edu"
"25","409276329","Taylor","Natalie","UG","4","FR","O164","B+","RE","natalie.l.taylor@fakeu.edu"
"26","555707012","Brown","Daniel","UG","4","SO","OT59","B","RE","daniel.s.brown@fakeu.edu"
"27","225485707","Harrison","Isabel","UG","4","FR","OT66","NS","RE","isabel.m.harrison@fakeu.edu"
"28","972229496","O'donnell","Christian","UG","4","SR","OT15","B","RE","christian.v.o'donnell@fakeu.edu"
