""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"57246","200603","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Battle, Gianna M.","Discussion","R","8:00 AM - 8:50 AM","LH5","11"
"","Lecture","MWF","11:00 AM - 11:50 AM","LH5","42"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","673606939","Wong","Jason","UG","4","FR","DEF2","C","RE","jason.a.wong@fakeu.edu"
"2","720364343","Pugh","Austin","UG","4","JR","O174","A","RE","austin.w.pugh@fakeu.edu"
"3","807244694","King","Claire","UG","4","JR","OT21","B+","RE","claire.j.king@fakeu.edu"
"4","301295544","Jordan","Zachary","UG","4","SO","OT26","A","RE","zachary.j.jordan@fakeu.edu"
"5","788871292","Carter","Jesse","UG","4","FR","OT35","C+","RE","jesse.j.carter@fakeu.edu"
"6","796573223","Wilson","Isabella","UG","4","FR","OT37","B+","RE","isabella.v.wilson@fakeu.edu"
"7","711284570","Little","Mia","UG","4","FR","ABC1","B-","RE","mia.k.little@fakeu.edu"
"8","927550184","Moore","Jacob","UG","4","SO","OTH8","C","RE","jacob.t.moore@fakeu.edu"
"9","475112848","Banks","Ava","UG","4","FR","O238","B-","RE","ava.m.banks@fakeu.edu"
"10","533517816","Hernandez","Andrea","ND","4","ND","O253","A","RE","andrea.p.hernandez@fakeu.edu"
"11","437001107","Mann","Destiny","UG","4","FR","OT54","B-","RE","destiny.a.mann@fakeu.edu"
"12","186278186","Russell","Liliana","UG","4","SR","O248","B","RE","liliana.e.russell@fakeu.edu"
"13","551665418","Moreno","Madison","UG","4","JR","O239","A","RE","madison.t.moreno@fakeu.edu"
"14","208638227","Lambert","Brandon","UG","4","FR","OT26","B","RE","brandon.a.lambert@fakeu.edu"
"15","858180373","Morris","Mia","UG","4","FR","OT20","C","RE","mia.j.morris@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"37547","200603","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Battle, Gianna M.","Discussion","W","8:00 AM - 8:50 AM","MB5","1336"
"","Lecture","MWF","11:00 AM - 11:50 AM","LH5","42"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","225211401","Harding","Logan","UG","4","SR","OT90","C","RE","logan.c.harding@fakeu.edu"
"2","411386085","Allison","Nicholas","UG","4","JR","O174","A","RE","nicholas.c.allison@fakeu.edu"
"3","112214762","Beck","Aiden","UG","4","SO","OT21","A","RE","aiden.a.beck@fakeu.edu"
"4","762677225","Robbins","Michael","UG","4","FR","O237","C+","RE","michael.e.robbins@fakeu.edu"
"5","604609720","Rodriguez","Amelia","UG","4","FR","O190","B","RE","amelia.s.rodriguez@fakeu.edu"
"6","759221716","Dunn","Kayla","UG","4","FR","O257","A","RE","kayla.d.dunn@fakeu.edu"
"7","688733126","King","Alexander","UG","4","SO","OTH8","B+","RE","alexander.m.king@fakeu.edu"
"8","903512479","Riddle","Emma","UG","4","FR","O244","C","RE","emma.n.riddle@fakeu.edu"
"9","508046569","Johnson","David","UG","4","FR","O160","C","RE","david.a.johnson1@fakeu.edu"
"10","673199673","Horton","Ximena","UG","4","SO","O239","B","RE","ximena.r.horton@fakeu.edu"
"11","882456545","Mason","Joshua","UG","4","FR","OT26","A","RE","joshua.d.mason@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"23347","200603","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Battle, Gianna M.","Lecture","MWF","11:00 AM - 11:50 AM","LH5","42"
"","Discussion","W","5:10 PM - 6:00 PM","LH5","13"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
